point latd latm lats lond lonm lons
01 44 13 00 59 06 00
02 43 47 00 58 35 00
03 43 35 00 58 35 00
04 43 35 00 59 08 00
05 43 55 00 59 08 00
06 44 06 00 59 20 00
07 44 07 06 59 08 14 
08 44 05 28 59 04 20 
09 44 00 18 58 57 54 
10 43 56 19 58 57 20 
11 43 54 13 58 52 56 
12 43 53 13 58 51 52 
13 43 50 52 58 51 51 
14 43 52 07 58 50 45 
15 43 52 55 58 48 00 
16 43 42 00 58 48 00 
17 43 42 00 59 02 16 
18 43 46 20 58 59 12 
19 43 46 38 59 00 43 
20 43 49 40 59 01 07 
21 43 49 56 58 59 52 
22 43 52 20 58 59 48 
23 43 53 59 59 01 52 
24 43 55 50 59 02 10 
25 43 57 53 59 01 13 
26 43 58 56 59 02 20 
27 43 58 56 59 00 27 
28 44 00 38 59 01 34 
29 44 02 02 59 03 31 
30 44 04 51 59 05 02 
31 44 06 29 59 08 14 
32 44 06 45 58 58 31.6 
33 44 05 33 59 00 40 
34 44 00 02 58 56 38 
35 43 56 44 58 55 33 
36 43 53 20 58 49 58 
37 43 55 33.6 58 45 10.8 
38 43 41 41 59 08 00 
39 43 43 03 59 05 14 
40 43 47 38 59 02 02 
41 43 49 39 59 02 34 
42 43 51 26 59 00 56 
43 43 53 46 59 03 12 
44 43 58 34 59 03 12 
45 43 59 25 59 05 33 
46 43 59 36 59 03 51 
47 44 01 55 59 04 51 
48 44 02 14 59 06 07 
49 44 02 52 59 05 58 
50 43 59 25 59 12 48.9
